Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
C7,08055C104KAT2A, 1 
USB, 10118194-0001LF, 1
"R3,R4", CRCW080510K0FKEA, 2
"LED1, LED2, LED3, LED4, LED5", 150080BS75000, 5
"C1,c2,c3,c4,c5,c6", VJ1210V106ZXJTW1BC, 6
"f1,f2,f3,f4", PTS12066V110, 4
"U1,u2,u3,u4,u5", PRTR5V0U2X, 5
Q1, FOXSDLF/120-20, 1
"R5,R6,R7", ERJ-6ENF3300V, 3
R1,CRCW08052K70FKEA ,1	
FE1.1S, FE1.1S, 1

