q1, CRYSTALSM49, 1
"F1, F2, F3, F4","FUSED",4
"LED2",150080BS75000,5
"FE1.1S","FE1.1S",1

"MP1584EN","MP1584EN",1
"PRTR5V0U2X","PRTR5V0U2X",5

